"Id","Region","Capacity","Capacity_Content","frac_Capacity","frac_Capacity_Content","Category","frac_Region_Capacity_Content"
"East Asia","East Asia",130,37.5859,0.443928425078541,0.426355094709082,"Region (fractions excl. non-operational)",1
"Africa","Africa",71.49,22.367864,0.244126485452807,0.25372953086556,"Region (fractions excl. non-operational)",1
"West Asia","West Asia",26.32,8.3944,0.0898784319082093,0.0952217508966373,"Region (fractions excl. non-operational)",1
"North America","North America",26.13,7.399915,0.0892296134407868,0.0839408251675271,"Region (fractions excl. non-operational)",1
"Eastern Europe And Central Asia","Eastern Europe And Central Asia",18.9,6.0695,0.0645403633383418,0.0688492825058539,"Region (fractions excl. non-operational)",1
"Latin America","Latin America",15.3,4.9705,0.0522469607977052,0.0563827924368312,"Region (fractions excl. non-operational)",1
"Oceania","Oceania",2.2,0.5984,0.00751263488594454,0.0067879414534151,"Region (fractions excl. non-operational)",1
"West Europe","West Europe",1,0.389,0.0034148340390657,0.00441261568412178,"Region (fractions excl. non-operational)",1
"South Asia","South Asia",1.5,0.38085,0.00512225105859855,0.00432016628097116,"Region (fractions excl. non-operational)",1
"sedimentary",NA,268.44,79.057749,0.916678049446797,0.896790393801448,"Rock type (fractions excl. non-operational)",NA
"igneous",NA,24.4,9.09858,0.0833219505532031,0.103209606198552,"Rock type (fractions excl. non-operational)",NA
"China","East Asia",124.5,35.8809,0.42514683786368,0.407014452700271,"Country (fractions excl. non-operational)",0.954637244285756
"Morocco","Africa",42.2,13.2159,0.144105996448573,0.149914364061144,"Country (fractions excl. non-operational)",0.590843184668862
"United States","North America",26.13,7.399915,0.0892296134407868,0.0839408251675271,"Country (fractions excl. non-operational)",1
"Russia","Eastern Europe And Central Asia",12.2,4.7175,0.0416609752766016,0.0535128907193946,"Country (fractions excl. non-operational)",0.777246890188648
"Saudi Arabia","West Asia",10.32,3.3024,0.035241087283158,0.0374607250263336,"Country (fractions excl. non-operational)",0.393405127227676
"Jordan","West Asia",9.5,3.04,0.0324409233711242,0.034484194549435,"Country (fractions excl. non-operational)",0.362146192699895
"Brazil","Latin America",8.4,2.9502,0.0286846059281519,0.0334655495920208,"Country (fractions excl. non-operational)",0.593541897193441
"Tunisia","Africa",8.7,2.508384,0.0297090561398716,0.0284538164015428,"Country (fractions excl. non-operational)",0.112142312739384
"Egypt","Africa",7.19,2.10565,0.0245526567408824,0.0238854092937559,"Country (fractions excl. non-operational)",0.0941372855271294
"Senegal","Africa",5.7,1.86865,0.0194645540226745,0.0211970033371058,"Country (fractions excl. non-operational)",0.0835417275426925
"Vietnam","East Asia",5.5,1.705,0.0187815872148614,0.0193406420088114,"Country (fractions excl. non-operational)",0.0453627557142439
"Kazakhstan","Eastern Europe And Central Asia",6.7,1.352,0.0228793880617402,0.0153363917864593,"Country (fractions excl. non-operational)",0.222753109811352
"Israel","West Asia",3.9,1.248,0.0133178527523562,0.014156669341347,"Country (fractions excl. non-operational)",0.148670542266273
"Peru","Latin America",4,1.188,0.0136593361562628,0.0134760602383976,"Country (fractions excl. non-operational)",0.239010159943668
"South Africa","Africa",2.8,1.04188,0.00956153530938396,0.0118185502030149,"Country (fractions excl. non-operational)",0.0465793246954649
"Mexico","Latin America",2.9,0.8323,0.00990301871329053,0.00944118260641275,"Country (fractions excl. non-operational)",0.167447942862891
"Syria","West Asia",2.6,0.804,0.00887856850157082,0.00912016197952163,"Country (fractions excl. non-operational)",0.0957781378061565
