"Id","Capacity","Capacity_Content","weight","G_PR_1","G_Ore_1","G_Mineral_1","G_Waste_1","Beneficiation_Upgrade_1","Potential_1"
"World",191.95,59.863117,1,31.6686902517622,21.4421990771045,38.1279586629972,11.0219911969355,10.2264911746577,6.45926841123496
"World - igneous",28.81,10.782228,0.180114710699077,37.496413750479,11.0236377342419,41.2250333037804,3.41989412130086,26.4727760162371,3.72861955330135
"World - sedimentary",163.14,49.080889,0.819885289300923,30.3884395316882,23.7309779912503,37.4475845786984,12.692041304374,6.65746154043787,7.05914504701023
"OCP S.A.",59.2,18.4859,0.308802830965183,31.2618474080245,28.9061993194813,37.0979117919698,13.5395647585005,2.35564808854316,5.83606438394526
"The Mosaic Company",23,6.8512,0.114447765892311,30.042141522653,10.8393449322746,38.069450511925,4.92363391554599,19.2027965903783,8.02730898927202
"Public Joint Stock Company ""Phosagro""",9.5,3.705,0.0618911975465628,39,13,40.36,2.73779637377964,26,1.36
"Saudi Arabian Mining Company (Ma’aden)",10.32,3.3024,0.0551658544609363,32,18.9457364341085,37.0798057635378,9.87192208010482,13.0542635658915,5.07980576353776
"Jordan Phosphate Mines Company P.L.C. (JPMC)",9.5,3.04,0.0507825210638464,32,26.5953,38.2137555317792,21.6459508553655,5.4047,6.2137555317792
"Compagnie des Phosphates de Gafsa (CPG)",8.7,2.508384,0.0419019945119129,28.832,25.75,35.6030217007538,20.1257853107345,3.082,6.77102170075385
"Nutrien Ltd.",7.4,2.0547,0.0343233046150938,27.8478449408673,15.8508541392904,35.8164926064865,3.05916613899083,11.9969908015769,7.96864766561927
"Mineral and Chemical Company Eurochem",5.7,2.0175,0.0337018869231283,35.5860966542751,12.7518959107807,41.0886840148699,4.40871710892028,22.8342007434944,5.5025873605948
"Abu Tartur",2.19,0.62415,0.010426286355921,28.5,25.07,34.9,11.35,3.43,6.4
"Al Jalamid",5.02,1.6064,0.026834553235843,32,21,37.0798057635378,12.5996472663139,11,5.07980576353776
"Angico dos Dias",0.5,0.18,0.00300685979983301,36,18.6,40.75,6.34090909090909,17.4,4.75
"Araxa/Patrocinio",1.3,0.4524,0.0075572409635803,34.8,13.3,39.6,6.91413748378729,21.5,4.8
"Aurora",5.4,1.4499,0.0242202556876549,26.85,18.5,35.3477493595204,2.99285714285714,8.35,8.49774935952038
"Bayovar",4,1.188,0.0198452746788979,29.7,16.2,37.18,9.52062780269058,13.5,7.48
"Boucraa",2.6,0.9399,0.015700819588128,36.15,33.9,39.0012137403081,10.8691011235955,2.25,2.85121374030805
"Cajati",0.6,0.2046,0.00341779730581019,34.1,5.2,42.2198615176379,1.37066817667044,28.9,8.11986151763789
"Catalao",1,0.347,0.00579655750301141,34.7,10.8,40.31,6.9093023255814,23.9,5.61
